Job Class,Percentage,Links
Management,6.1,https://hiring.monster.com/resources/job-descriptions/management/manager/
Business and Financial operations,5,https://www.greatsampleresume.com/job-responsibilities/finance/operations-manager
Computer and Mathematical,2.7,https://profile.center/EN/MajorOccupation/Computer_and_Mathematical_Occupations/2
Architecture and Engineering,1.7,https://study.com/articles/Architectural_Engineer_Job_Description_Duties_and_Requirements.html
"Life, Physical and Social Science",0.9,https://www.bls.gov/oes/current/oes190000.htm
Community and Social Service,1.6,https://www.bls.gov/ooh/community-and-social-service/home.htm
Legal,0.8,https://www.betterteam.com/lawyer-job-description
"Education, training and library",6.1,https://www.bls.gov/ooh/education-training-and-library/home.htm
"Arts, design, entertainment, sports and media",1.7,https://www.bls.gov/oes/current/oes270000.htm
Healthcare practioners and technical,5.5,https://www.bls.gov/oes/current/oes290000.htm
Healthcare support,2.8,https://www.indeed.com/hire/job-description/healthcare-assistant?hl=en&co=GB#:~:text=A%20Healthcare%20Assistant%2C%20or%20HCA,assisting%20nursing%20staff%20when%20necessary.
Protective service,2.3,https://www.mightyrecruiter.com/job-descriptions/protective-service-worker/#:~:text=Protective%20service%20workers%20work%20in,be%20experiencing%20neglect%20or%20abuse.&text=It%20involves%20case%20management%20and,%2C%20if%20any%2C%20is%20needed.
Food preparation and serving,8.3,https://www.betterteam.com/food-preparation-worker-job-description
Building and grounds cleaning and maintenance,3.7,https://collegegrad.com/careers/building-and-grounds-cleaning
Personal care and service,4,https://www.shrm.org/resourcesandtools/tools-and-samples/job-descriptions/pages/personal-care-aide.aspx#:~:text=The%20Personal%20Care%20Aide%20will,washing%20dishes)%20and%20preparing%20meals.
Sales,10.2,https://hiring.monster.com/resources/job-descriptions/sales/sales-representative/#:~:text=Serves%20customers%20by%20selling%20products,outlets%20and%20other%20trade%20factors.
Office and administrative support,15.1,https://www.lanecc.edu/hr/classification/administrative-support-specialist#:~:text=An%20Administrative%20Support%20Specialist%20is,from%20general%20instructions%20or%20rough
"Farming, fishing and forestry",0.6,https://collegegrad.com/careers/farming-fishing-and-forestry
Construction and extraction,4.3,https://collegegrad.com/careers/construction-and-extraction
"Installation, maintenance and repair",3.8,https://www.mynextmove.org/profile/summary/49-9098.00
Production,6.1,https://www.alongside.com/templates/production-worker-job-description#:~:text=A%20production%20worker%20is%20responsible,packaging%20and%20shipment%20of%20items.
Transportation and material moving,6.5,https://collegegrad.com/careers/transportation-and-material-moving
Total,99.8,Links
